Search Iteration,Database,Keywords/Strategy,Inclusion Criteria,Exclusion Criteria,Papers Found,Papers Selected,Theme,Tier,Date,Notes,Key Papers/Findings,DOI/ID,Venue
"Seed: older adults × health CAs (Theme 1)",ACM DL,"(""older adults"" OR seniors OR elderly) AND (""conversational agent*"" OR chatbot* OR ""voice assistant*"") AND (health OR healthcare)","empirical, 2018+, CHI/CSCW/TOCHI venues","non-English, pure technical",47,"3 (Zubatiy 2023, Brewer 2022)",Theme 1,1,2026-01-20,"Initial seed search; high-yield empirical HCI papers on older adults + health conversational agents",,,
"Backward chain from Zubatiy 2023 (Theme 1)",ACM DL,"Backward chaining from Zubatiy et al. 2023 reference list (filter: HCI empirical studies on older adults + intelligent assistants + health information)","HCI empirical studies on voice assistants / caregiving / AI limitations","grey literature, design-only",12,"2 (Martin-Hammond 2019, Even 2022)",Theme 1,2,2026-01-22,"Genealogical tracing from seed; found attitude/belief papers (later downgraded in Round 2)",,,
"Forward chain from Zubatiy 2023 (Theme 1, 3)",Google Scholar,"Forward chaining: ""Zubatiy 2023"" (title) AND cited-by in Google Scholar (filter: 2023-2026, HCI/CSCW/CHI/TOCHI venues)","2023-2026, empirical or review, HCI venue","blog posts, news articles",8,0,"Theme 1, 3",,2026-01-22,"No papers met inclusion criteria; citing works were primarily non-HCI or grey literature",,,
"Dark patterns & health / older adults (Theme 2)",ACM DL + JMIR,"(""dark pattern*"" OR ""deceptive design"" OR ""manipulative interface*"" OR ""digital nudge*"") AND (AI OR algorithm* OR ""conversational agent*"" OR chatbot*) AND (""older adults"" OR aging OR geriatric)","design risk literature, 2018+","theory only, no data",23,"4 (Gray 2018, Brignull 2023, Ellis 2025)",Theme 2,1,2026-01-25,"Core dark patterns literature; Gray 2018 = Tier 1 foundational taxonomy",,,
"Patient portals / digital health usability (Theme 1, 3)",IEEE Xplore + PubMed,"(""patient portal*"" OR ""electronic patient portal*"") AND (""older adults"" OR aging OR geriatric) AND (usability OR ""user experience"" OR ""user-centred design"")","2015+, systematic reviews / empirical","pediatric, non-digital",31,"2 (Sakaguchi-Tang 2017, Wildenbos 2018)","Theme 1, 3",2,2026-01-27,"GUI usability focus; Wildenbos retained (MOLD-US framework), Sakaguchi-Tang downgraded (no AI transparency link)",,,
"AI in aging - scoping/systematic reviews (Theme 1, 3)",Scopus + Web of Science,"(""artificial intelligence"" OR AI) AND (aging OR ""older adults"" OR geriatric) AND (""scoping review"" OR ""systematic review"")","2020+, systematic/scoping reviews","non-English, opinion",19,"2 (Ma 2023, Huang 2025)","Theme 1, 3",2,2026-01-28,"General AI-aging landscape; Ma 2023 later downgraded (applications, not interaction design)",,,
"Backward chain from Gray 2018 (Theme 2)",JSTOR + IEEE Xplore,"Backward chaining from Gray et al. 2018 (dark patterns) reference list (filter: manipulation OR persuasion OR ""technology ethics"", 2015+)","manipulation, persuasion, technology ethics, 2015+","marketing-focused, non-digital",8,0,Theme 2,,2026-01-29,"No new papers met inclusion criteria; references were primarily marketing/behavioral economics",,,
"Agentic AI & design workflows (Theme 3)",ACM DL,"(""agentic AI"" OR ""autonomous agent*"" OR ""AI agent*"") AND (design OR workflow* OR ""human-AI collaboration"" OR ""co-creation"")","2024+, CHI/OZCHI/UIST","preprint + grey literature",6,"2 (Imaging Workflows OZCHI 2025, Semantic Commit UIST 2025)",Theme 3,2,2026-02-01,"Emerging agentic AI design space; both papers provide HCI workflow context",,,
"IMDA / governance frameworks (Theme 4)",Google Scholar,"(""AI governance"" OR ""AI risk management"" OR ""model framework"") AND (health OR healthcare OR ""agentic AI"") AND (IMDA OR Singapore OR ""WHO"" OR ""NIST"")","2025+, official documents, policy",non-governance,4,1 (IMDA MGF 2026),Theme 4,2,2026-02-03,"Policy/institutional anchor; supplements WHO 2021 and NIST AI RMF 2023",,,
,,,,,,,,,,,,,
